month,c_resid,indic_to,geo_layer,Year,Value
M04,DOM,NGT_SP,NUT1,2021,6928398.0
M04,DOM,NGT_SP,NUT1,2022,18211607.0
M04,DOM,NGT_SP,NUT1,2023,22536401.0
M04,DOM,NGT_SP,NUT2,2018,9074806.0
M04,DOM,NGT_SP,NUT2,2019,13250400.0
M04,DOM,NGT_SP,NUT2,2020,1488533.0
M04,DOM,NGT_SP,NUT2,2021,6928398.0
M04,DOM,NGT_SP,NUT2,2022,18211607.0
M04,DOM,NGT_SP,NUT2,2023,22536401.0
M04,DOM,NGT_SP,[EU27_2020],2018,8940032.0
M04,DOM,NGT_SP,[EU27_2020],2019,13061155.0
M04,DOM,NGT_SP,[EU27_2020],2020,1401432.0
M04,DOM,NGT_SP,[EU27_2020],2021,6483462.0
M04,DOM,NGT_SP,[EU27_2020],2022,17860043.0
M04,DOM,NGT_SP,[EU27_2020],2023,22173606.0
M04,DOM,STY,Country,2018,1103279.0
M04,DOM,STY,Country,2019,1506304.0
M04,DOM,STY,Country,2020,140038.0
M04,DOM,STY,Country,2021,853089.0
M04,DOM,STY,Country,2022,2010116.0
M04,DOM,STY,Country,2023,2602200.0
M04,DOM,STY,NUT1,2018,1103279.0
M04,DOM,STY,NUT1,2019,1506304.0
M04,DOM,STY,NUT1,2020,140038.0
M04,DOM,STY,NUT1,2021,853089.0
M04,DOM,STY,NUT1,2022,2010116.0
M04,DOM,STY,NUT1,2023,2602200.0
M04,DOM,STY,NUT2,2018,1103279.0
M04,DOM,STY,NUT2,2019,1506304.0
M04,DOM,STY,NUT2,2020,140038.0
M04,DOM,STY,NUT2,2021,853089.0
M04,DOM,STY,NUT2,2022,2010116.0
M04,DOM,STY,NUT2,2023,2602200.0
M04,DOM,STY,[EU27_2020],2018,1086409.0
M04,DOM,STY,[EU27_2020],2019,1484481.0
M04,DOM,STY,[EU27_2020],2020,131285.0
M04,DOM,STY,[EU27_2020],2021,812445.0
M04,DOM,STY,[EU27_2020],2022,1975496.0
M04,DOM,STY,[EU27_2020],2023,2563994.0
M04,FOR,LSTY,Country,2018,6810443.0
M04,FOR,LSTY,Country,2019,8622931.0
M04,FOR,LSTY,Country,2020,570702.0
M04,FOR,LSTY,Country,2021,1378421.0
M04,FOR,LSTY,Country,2022,8850213.0
M04,FOR,LSTY,Country,2023,11456738.0
M04,FOR,LSTY,NUT1,2018,6810443.0
M04,FOR,LSTY,NUT1,2019,8622931.0
M04,FOR,LSTY,NUT1,2020,570702.0
M04,FOR,LSTY,NUT1,2021,1378421.0
M04,FOR,LSTY,NUT1,2022,8850213.0
M04,FOR,LSTY,NUT1,2023,11456738.0
M04,FOR,LSTY,NUT2,2018,6810443.0
M04,FOR,LSTY,NUT2,2019,8622931.0
M04,FOR,LSTY,NUT2,2020,570702.0
M04,FOR,LSTY,NUT2,2021,1378421.0
M04,FOR,LSTY,NUT2,2022,8850213.0
M04,FOR,LSTY,NUT2,2023,11456738.0
M04,FOR,LSTY,[EU27_2020],2018,6624321.0
M04,FOR,LSTY,[EU27_2020],2019,8407225.0
M04,FOR,LSTY,[EU27_2020],2020,542764.0
M04,FOR,LSTY,[EU27_2020],2021,1309561.0
M04,FOR,LSTY,[EU27_2020],2022,8633723.0
M04,FOR,LSTY,[EU27_2020],2023,11165933.0
M04,FOR,NGT_SP,Country,2018,19486584.0
M04,FOR,NGT_SP,Country,2019,25619982.0
M04,FOR,NGT_SP,Country,2020,1264002.0
M04,FOR,NGT_SP,Country,2021,2924172.0
